ts_ns,char,hex
71108250,0031,00000000000001010000000000000000008000
581393083,0031,00000000000001010000000000000000008000
581581791,0032,000000000000ff000000000000000000
583003416,0033,0000000000000000000000000000000000000000
1090096750,0031,00000000000001010000000000000000008000
1091513083,0032,000000000000ff000000000000000000
1091738541,0033,0000000000000000000000000000000000000000
1570546500,0031,00000000000001010000000000000000008000
1630262500,0032,000000000000ff000000000000000000
1632143916,0033,0000000000000000000000000000000000000000
2079887541,0031,00000000000001010000000000000000008000
2080793375,0032,000000000000ff000000000000000000
2082339208,0033,0000000000000000000000000000000000000000
2590784333,0031,00000000000001010000000000000000008000
2592398625,0032,000000000000ff000000000000000000
2592611916,0033,0000000000000000000000000000000000000000
3071068416,0031,00000000000001010000000000000000008000
3100533958,0032,000000000000ff000000000000000000
3101012875,0033,0000000000000000000000000000000000000000
3580594375,0031,00000000000001010000000000000000008000
3582437625,0032,000000000000ff000000000000000000
3582695916,0033,0000000000000000000000000000000000000000
4090802416,0031,00000000000001010000000000000000008000
4090915250,0032,000000000000ff000000000000000000
4090950500,0033,0000000000000000000000000000000000000000
4570130083,0031,00000000000001010000000000000000008000
4600464166,0032,000000000000ff000000000000000000
4602398291,0033,0000000000000000000000000000000000000000
5080796125,0031,00000000000001010000000000000000008000
5082572250,0032,000000000000ff000000000000000000
5082890625,0033,0000000000000000000000000000000000000000
5591096291,0031,00000000000001010000000000000000008000
5591802000,0032,000000000000ff000000000000000000
5591967541,0033,0000000000000000000000000000000000000000
6071416166,0031,00000000000001010000000000000000008000
6100389333,0032,000000000000ff000000000000000000
6101900666,0033,0000000000000000000000000000000000000000
6581427333,0031,12000002000001010000020000000000008000
6581914875,0032,120000000000ff000000000000000000
6583882416,0033,1200000000000000000000000000000000000000
7060217166,0035,41000009000020000000420000000000ffff0100
7061003250,0036,410000000000000100000000dc0900
7090626333,0031,41000009000001010101040000000000008000
7091929291,0032,410000000000ff000000000000000000
7092163333,0033,4100000000000000000000000000000000000000
7570439333,0031,7100000f000001010101040000000000008000
7571221208,0032,7100007a0500ff788b00000000000000
7600195000,0033,7100000000000000788b08000000000000000000
7870168916,0035,8e000014000020004200420000000000ffff0100
8110656333,0031,a8000019000001010101020000000000008000
8111436750,0032,a800007a0500ff788b00000000000000
8111900666,0033,a800000000000000788b08000000000000000000
8590845208,0031,db000028000001010101020000000000008000
8591586458,0032,db00007a0500ff788b00000000000000
8591770208,0033,db00000000000000788b08000000000000000000
8890029583,0035,f70000320000766b42008101bc066504d0010200
8890667833,0036,f70000190082010200000000950e00
9100808416,0031,0e01003a000001010101040000000000008071
9102609166,0032,0e01001a0820ff585ed6640000000000
9102833833,0033,0e01000014000000d66414000000000000000000
9610503750,0031,4001004a000001010101040000000000008071
9639766041,0032,4001001a0820ff585ed6640000000000
9670646916,0033,4001000014000000d66414000000000000000000
10090258833,0031,70010059000001010101040000000000008071
10091192916,0032,7001001a0820ff585ed6640000000000
10091442750,0033,7001000014000000d66414000000000000000000
10299915291,0035,860100600000766b82008101bc066504d0010200
10630569958,0031,a701006c000001010101020000000000008071
10631234750,0032,a701001a0820ff585ed6640000000000
10631444250,0033,a701000014000000d66414000000000000000000
11020712583,0035,cf01007d000070408200dc027d064b045a090300
11022382583,0036,cf01007000ad020300000000031800
11110797750,0031,d7010080000001010101040000000000008079
11111185958,0032,d70100590d1cff5939d6490000000000
11140214916,0033,d701000034000000d64934000000000000000000
11621081875,0031,0b020095000001010101040000000000008079
11621597166,0032,0b0200590d1cff5939d6490000000000
11621915708,0033,0b02000034000000d64934000000000000000000
12131156083,0031,3b0200a7000001010101040000000000008079
12131923500,0032,3b0200590d1cff5939d6490000000000
12132580291,0033,3b02000034000000d64934000000000000000000
12490416750,0035,610200b5000070408600dc027d064b045a090300
12640225666,0031,700200bb000001010101020000000000008079
12640872958,0032,700200590d1cff5939d6490000000000
12641058125,0033,7002000034000000d64934000000000000000000
13151022583,0031,a30200d100000101010103000000000000807a
13151684000,0032,a30200790f1cff80318d3f0000000000
13151881750,0033,a3020000510001008d3f51000100000000000000
13182984791,0035,a60200d20000763e860058031706f603b10e0400
13183326375,0036,a60200ae0083030400000000d41b00
13630505708,0031,d40200e600000101010104000000000000807a
13660798166,0032,d40200790f1cff80318d3f0000000000
13661224458,0033,d4020000510001008d3f51000100000000000000
14140984333,0031,060300fa00000101010104000000000000807a
14142747458,0032,060300790f1cff80318d3f0000000000
14143098958,0033,06030000510001008d3f51000100000000000000
14649870541,0031,3803000d01000101010104000000000000807a
14650770166,0032,380300790f1cff80318d3f0000000000
14651014208,0033,38030000510001008d3f51000100000000000000
14829922916,0035,4b0300140100763e990058031706f603b10e0400
15159868083,0031,6d03002201000101010102000000000000807a
15160933916,0032,6d0300790f1cff80318d3f0000000000
15161050708,0033,6d030000510001008d3f51000100000000000000
15489674416,0035,8c0300300100733c9900b2033806fd033d110500
15490649208,0036,8c0300be00bb030500000000aa1c00
15671479166,0031,9e03003801000101010104000000000000807a
15673207333,0032,9e0300f00f1aff0e30953a0000000000
15673478458,0033,9e03000068000100953a68000100000000000000
16180127625,0031,d103004e01000101010104000000000000807a
16181175875,0032,d10300f00f1aff0e30953a0000000000
16181295625,0033,d103000068000100953a68000100000000000000
16660623208,0031,0104006101000101010104000000000000807a
16661272916,0032,010400f00f1aff0e30953a0000000000
16661596166,0033,0104000068000100953a68000100000000000000
17171446708,0031,3304007301000101010104000000000000807a
17171740708,0032,330400f00f1aff0e30953a0000000000
17173228708,0033,3304000068000100953a68000100000000000000
17680102791,0031,6604008501000101010104000000000000807a
17680839708,0032,660400f00f1aff0e30953a0000000000
17680948333,0033,6604000068000100953a68000100000000000000
18160193000,0031,9804009501000101010104000000000000807a
18161305250,0032,980400f00f1aff0e30953a0000000000
18161579333,0033,9804000068000100953a68000100000000000000
18670555791,0031,c90400a501000101010104000000000000807a
18671124416,0032,c90400f00f1aff0e30953a0000000000
18671369250,0033,c904000068000100953a68000100000000000000
19180770583,0031,fb0400b401000101010104000000000000807a
19181767500,0032,fb0400f00f1aff0e30953a0000000000
19181967708,0033,fb04000068000100953a68000100000000000000
19660867125,0031,2d0500c201000101010104000000000000807a
19662805833,0032,2d0500f00f1aff0e30953a0000000000
19663167291,0033,2d05000068000100953a68000100000000000000
20171913583,0031,5f0500cf01000101010104000000000000807a
20172307125,0032,5f0500f00f1aff0e30953a0000000000
20173108958,0033,5f05000068000100953a68000100000000000000
20681053416,0031,8f0500dc01000101010104000000000000807a
20682321500,0032,8f0500f00f1aff0e30953a0000000000
20682623208,0033,8f05000068000100953a68000100000000000000
21162512166,0033,c205000068000100953a68000100000000000000
